PathwayName	PathwayID
C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone	KEGG:hsa_M00108
C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone	KEGG:hsa_M00109
C5 isoprenoid biosynthesis, mevalonate pathway	KEGG:hsa_M00095
C6 deamination of adenosine	REACT:R-HSA-75102
Ca2+ activated K+ channels	REACT:R-HSA-1296052
Ca2+ pathway	REACT:R-HSA-4086398
Ca-dependent events	REACT:R-HSA-111996
Caffeine metabolism	KEGG:hsa00232
Calcitonin-like ligand receptors	REACT:R-HSA-419812
Calcium signaling pathway	KEGG:hsa04020
Calmodulin induced events	REACT:R-HSA-111933
Calnexin/calreticulin cycle	REACT:R-HSA-901042
CaMK IV-mediated phosphorylation of CREB	REACT:R-HSA-111932
CaM pathway	REACT:R-HSA-111997
Cam-PDE 1 activation	REACT:R-HSA-111957
cAMP signaling	KEGG:hsa_M00695
cAMP signaling pathway	KEGG:hsa04024
Cap binding complex	KEGG:hsa_M00399
Cap-dependent Translation Initiation	REACT:R-HSA-72737
Carbohydrate digestion and absorption	KEGG:hsa04973
Carbon metabolism	KEGG:hsa01200
Cardiac conduction	REACT:R-HSA-5576891
Cardiac muscle contraction	KEGG:hsa04260
Cargo concentration in the ER	REACT:R-HSA-5694530
Cargo recognition for clathrin-mediated endocytosis	REACT:R-HSA-8856825
Cargo trafficking to the periciliary membrane	REACT:R-HSA-5620920
Carnitine synthesis	REACT:R-HSA-71262
CASP8 activity is inhibited	REACT:R-HSA-5218900
Caspase activation via extrinsic apoptotic signalling pathway	REACT:R-HSA-5357769
Caspase-mediated cleavage of cytoskeletal proteins	REACT:R-HSA-264870
Catabolism of glucuronate to xylulose-5-phosphate	REACT:R-HSA-5661270
Catecholamine biosynthesis	REACT:R-HSA-209905
Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	KEGG:hsa_M00042
Cation-coupled Chloride cotransporters	REACT:R-HSA-426117
CD209 (DC-SIGN) signaling	REACT:R-HSA-5621575
CD22 mediated BCR regulation	REACT:R-HSA-5690714
CD28 co-stimulation	REACT:R-HSA-389356
CD28 dependent PI3K/Akt signaling	REACT:R-HSA-389357
CD28 dependent Vav1 pathway	REACT:R-HSA-389359
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	REACT:R-HSA-174184
CDC6 association with the ORC:origin complex	REACT:R-HSA-68689
CDK-mediated phosphorylation and removal of Cdc6	REACT:R-HSA-69017
CDO in myogenesis	REACT:R-HSA-375170
CDT1 association with the CDC6:ORC:origin complex	REACT:R-HSA-68827
Cell adhesion molecules (CAMs)	KEGG:hsa04514
Cell-Cell communication	REACT:R-HSA-1500931
Cell-cell junction organization	REACT:R-HSA-421270
Cell cycle	KEGG:hsa04110
Cell Cycle	REACT:R-HSA-1640170
